Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/23,81+,1,10,06/30/2020 04:36:29 PM
2020/03/24,81+,1,11,06/30/2020 04:36:29 PM
2020/03/25,81+,1,12,06/30/2020 04:36:29 PM
2020/03/26,81+,4,16,06/30/2020 04:36:29 PM
2020/03/27,81+,1,17,06/30/2020 04:36:29 PM
2020/03/28,81+,1,18,06/30/2020 04:36:29 PM
2020/03/29,81+,2,20,06/30/2020 04:36:29 PM
2020/03/30,81+,1,21,06/30/2020 04:36:29 PM
2020/03/31,81+,2,23,06/30/2020 04:36:29 PM
2020/04/01,81+,2,25,06/30/2020 04:36:29 PM
2020/04/02,81+,2,27,06/30/2020 04:36:29 PM
2020/04/03,81+,0,27,06/30/2020 04:36:29 PM
2020/04/04,81+,1,28,06/30/2020 04:36:29 PM
2020/04/05,81+,2,30,06/30/2020 04:36:29 PM
2020/04/06,81+,2,32,06/30/2020 04:36:29 PM
2020/04/07,81+,4,36,06/30/2020 04:36:29 PM
2020/04/08,81+,1,37,06/30/2020 04:36:29 PM
2020/04/09,81+,1,38,06/30/2020 04:36:29 PM
2020/04/10,81+,0,38,06/30/2020 04:36:29 PM
2020/04/11,81+,2,40,06/30/2020 04:36:29 PM
2020/04/12,81+,2,42,06/30/2020 04:36:29 PM
2020/04/13,81+,2,44,06/30/2020 04:36:29 PM
2020/04/14,81+,5,49,06/30/2020 04:36:29 PM
2020/04/15,81+,14,63,06/30/2020 04:36:29 PM
2020/04/16,81+,3,66,06/30/2020 04:36:29 PM
2020/04/17,81+,3,69,06/30/2020 04:36:29 PM
2020/04/18,81+,1,70,06/30/2020 04:36:29 PM
2020/04/19,81+,3,73,06/30/2020 04:36:29 PM
2020/04/20,81+,2,75,06/30/2020 04:36:29 PM
2020/04/21,81+,2,77,06/30/2020 04:36:29 PM
2020/04/22,81+,1,78,06/30/2020 04:36:29 PM
2020/04/23,81+,5,83,06/30/2020 04:36:29 PM
2020/04/24,81+,2,85,06/30/2020 04:36:29 PM
2020/04/25,81+,8,93,06/30/2020 04:36:29 PM
2020/04/26,81+,1,94,06/30/2020 04:36:29 PM
2020/04/27,81+,2,96,06/30/2020 04:36:29 PM
2020/04/28,81+,1,97,06/30/2020 04:36:29 PM
2020/04/29,81+,1,98,06/30/2020 04:36:29 PM
2020/04/30,81+,0,98,06/30/2020 04:36:29 PM
2020/05/01,81+,2,100,06/30/2020 04:36:29 PM
2020/05/02,81+,1,101,06/30/2020 04:36:29 PM
2020/05/03,81+,0,101,06/30/2020 04:36:29 PM
2020/05/04,81+,1,102,06/30/2020 04:36:29 PM
2020/05/05,81+,0,102,06/30/2020 04:36:29 PM
2020/05/06,81+,1,103,06/30/2020 04:36:29 PM
2020/05/07,81+,0,103,06/30/2020 04:36:29 PM
2020/05/08,81+,0,103,06/30/2020 04:36:29 PM
2020/05/09,81+,1,104,06/30/2020 04:36:29 PM
2020/05/10,81+,0,104,06/30/2020 04:36:29 PM
2020/05/11,81+,0,104,06/30/2020 04:36:29 PM
2020/05/12,81+,8,112,06/30/2020 04:36:29 PM
2020/05/13,81+,0,112,06/30/2020 04:36:29 PM
2020/05/14,81+,0,112,06/30/2020 04:36:29 PM
2020/05/15,81+,0,112,06/30/2020 04:36:29 PM
2020/05/16,81+,1,113,06/30/2020 04:36:29 PM
2020/05/17,81+,0,113,06/30/2020 04:36:29 PM
2020/05/18,81+,1,114,06/30/2020 04:36:29 PM
2020/05/19,81+,0,114,06/30/2020 04:36:29 PM
2020/05/20,81+,1,115,06/30/2020 04:36:29 PM
2020/05/21,81+,1,116,06/30/2020 04:36:29 PM
2020/05/22,81+,1,117,06/30/2020 04:36:29 PM
2020/05/23,81+,0,117,06/30/2020 04:36:29 PM
2020/05/24,81+,0,117,06/30/2020 04:36:29 PM
2020/05/25,81+,0,117,06/30/2020 04:36:29 PM
2020/05/26,81+,0,117,06/30/2020 04:36:29 PM
2020/05/27,81+,1,118,06/30/2020 04:36:29 PM
2020/05/28,81+,2,120,06/30/2020 04:36:29 PM
2020/05/29,81+,0,120,06/30/2020 04:36:29 PM
2020/05/30,81+,0,120,06/30/2020 04:36:29 PM
2020/05/31,81+,1,121,06/30/2020 04:36:29 PM
2020/06/01,81+,1,122,06/30/2020 04:36:29 PM
2020/06/02,81+,1,123,06/30/2020 04:36:29 PM
2020/06/03,81+,0,123,06/30/2020 04:36:29 PM
2020/06/04,81+,1,124,06/30/2020 04:36:29 PM
2020/06/05,81+,3,127,06/30/2020 04:36:29 PM
2020/06/06,81+,0,127,06/30/2020 04:36:29 PM
2020/06/07,81+,0,127,06/30/2020 04:36:29 PM
2020/06/08,81+,2,129,06/30/2020 04:36:29 PM
2020/06/09,81+,0,129,06/30/2020 04:36:29 PM
2020/06/10,81+,1,130,06/30/2020 04:36:29 PM
2020/06/11,81+,0,130,06/30/2020 04:36:29 PM
2020/06/12,81+,0,130,06/30/2020 04:36:29 PM
2020/06/13,81+,0,130,06/30/2020 04:36:29 PM
2020/06/14,81+,0,130,06/30/2020 04:36:29 PM
2020/06/15,81+,0,130,06/30/2020 04:36:29 PM
2020/06/16,81+,0,130,06/30/2020 04:36:29 PM
2020/06/17,81+,0,130,06/30/2020 04:36:29 PM
2020/06/18,81+,0,130,06/30/2020 04:36:29 PM
2020/06/19,81+,2,132,06/30/2020 04:36:29 PM
2020/06/20,81+,0,132,06/30/2020 04:36:29 PM
2020/06/21,81+,0,132,06/30/2020 04:36:29 PM
2020/06/22,81+,0,132,06/30/2020 04:36:29 PM
2020/06/23,81+,0,132,06/30/2020 04:36:29 PM
2020/06/24,81+,0,132,06/30/2020 04:36:29 PM
2020/06/25,81+,2,134,06/30/2020 04:36:29 PM
2020/06/26,81+,1,135,06/30/2020 04:36:29 PM
2020/06/27,81+,1,136,06/30/2020 04:36:29 PM
2020/06/28,81+,2,138,06/30/2020 04:36:29 PM
2020/04/04,under 18,1,5,06/30/2020 04:36:29 PM
2020/04/05,under 18,0,5,06/30/2020 04:36:29 PM
2020/04/06,under 18,2,7,06/30/2020 04:36:29 PM
2020/04/07,under 18,6,13,06/30/2020 04:36:29 PM
2020/04/08,under 18,1,14,06/30/2020 04:36:29 PM
2020/04/09,under 18,2,16,06/30/2020 04:36:29 PM
2020/04/10,under 18,1,17,06/30/2020 04:36:29 PM
2020/04/11,under 18,1,18,06/30/2020 04:36:29 PM
2020/04/12,under 18,0,18,06/30/2020 04:36:29 PM
2020/04/13,under 18,3,21,06/30/2020 04:36:29 PM
2020/04/14,under 18,0,21,06/30/2020 04:36:29 PM
2020/04/15,under 18,0,21,06/30/2020 04:36:29 PM
2020/04/16,under 18,1,22,06/30/2020 04:36:29 PM
2020/04/17,under 18,0,22,06/30/2020 04:36:29 PM
2020/04/18,under 18,2,24,06/30/2020 04:36:29 PM
2020/04/19,under 18,0,24,06/30/2020 04:36:29 PM
2020/04/20,under 18,2,26,06/30/2020 04:36:29 PM
2020/04/21,under 18,2,28,06/30/2020 04:36:29 PM
2020/04/22,under 18,4,32,06/30/2020 04:36:29 PM
2020/04/23,under 18,1,33,06/30/2020 04:36:29 PM
2020/04/24,under 18,2,35,06/30/2020 04:36:29 PM
2020/04/25,under 18,5,40,06/30/2020 04:36:29 PM
2020/04/26,under 18,2,42,06/30/2020 04:36:29 PM
2020/04/27,under 18,3,45,06/30/2020 04:36:29 PM
2020/04/28,under 18,7,52,06/30/2020 04:36:29 PM
2020/04/29,under 18,3,55,06/30/2020 04:36:29 PM
2020/04/30,under 18,3,58,06/30/2020 04:36:29 PM
2020/05/01,under 18,3,61,06/30/2020 04:36:29 PM
2020/05/02,under 18,6,67,06/30/2020 04:36:29 PM
2020/05/03,under 18,2,69,06/30/2020 04:36:29 PM
2020/05/04,under 18,6,75,06/30/2020 04:36:29 PM
2020/05/05,under 18,0,75,06/30/2020 04:36:29 PM
2020/05/06,under 18,2,77,06/30/2020 04:36:29 PM
2020/05/07,under 18,4,81,06/30/2020 04:36:29 PM
2020/05/08,under 18,6,87,06/30/2020 04:36:29 PM
2020/05/09,under 18,0,87,06/30/2020 04:36:29 PM
2020/05/10,under 18,0,87,06/30/2020 04:36:29 PM
2020/05/11,under 18,3,90,06/30/2020 04:36:29 PM
2020/05/12,under 18,3,93,06/30/2020 04:36:29 PM
2020/05/13,under 18,1,94,06/30/2020 04:36:29 PM
2020/05/14,under 18,7,101,06/30/2020 04:36:29 PM
2020/05/15,under 18,5,106,06/30/2020 04:36:29 PM
2020/05/16,under 18,0,106,06/30/2020 04:36:29 PM
2020/05/17,under 18,1,107,06/30/2020 04:36:29 PM
2020/05/18,under 18,8,115,06/30/2020 04:36:29 PM
2020/05/19,under 18,7,122,06/30/2020 04:36:29 PM
2020/05/20,under 18,8,130,06/30/2020 04:36:29 PM
2020/05/21,under 18,5,135,06/30/2020 04:36:29 PM
2020/05/22,under 18,5,140,06/30/2020 04:36:29 PM
2020/05/23,under 18,3,143,06/30/2020 04:36:29 PM
2020/05/24,under 18,0,143,06/30/2020 04:36:29 PM
2020/05/25,under 18,0,143,06/30/2020 04:36:29 PM
2020/05/26,under 18,11,154,06/30/2020 04:36:29 PM
2020/05/27,under 18,8,162,06/30/2020 04:36:29 PM
2020/05/28,under 18,4,166,06/30/2020 04:36:29 PM
2020/05/29,under 18,3,169,06/30/2020 04:36:29 PM
2020/05/30,under 18,2,171,06/30/2020 04:36:29 PM
2020/05/31,under 18,2,173,06/30/2020 04:36:29 PM
2020/06/01,under 18,1,174,06/30/2020 04:36:29 PM
2020/06/02,under 18,9,183,06/30/2020 04:36:29 PM
2020/06/03,under 18,1,184,06/30/2020 04:36:29 PM
2020/06/04,under 18,2,186,06/30/2020 04:36:29 PM
2020/06/05,under 18,3,189,06/30/2020 04:36:29 PM
2020/06/06,under 18,3,192,06/30/2020 04:36:29 PM
2020/06/07,under 18,2,194,06/30/2020 04:36:29 PM
2020/06/08,under 18,5,199,06/30/2020 04:36:29 PM
2020/06/09,under 18,4,203,06/30/2020 04:36:29 PM
2020/06/10,under 18,1,204,06/30/2020 04:36:29 PM
2020/06/11,under 18,1,205,06/30/2020 04:36:29 PM
2020/06/12,under 18,2,207,06/30/2020 04:36:29 PM
2020/06/13,under 18,1,208,06/30/2020 04:36:29 PM
2020/06/14,under 18,1,209,06/30/2020 04:36:29 PM
2020/06/15,under 18,10,219,06/30/2020 04:36:29 PM
2020/06/16,under 18,10,229,06/30/2020 04:36:29 PM
2020/06/17,under 18,11,240,06/30/2020 04:36:29 PM
2020/06/18,under 18,2,242,06/30/2020 04:36:29 PM
2020/06/19,under 18,5,247,06/30/2020 04:36:29 PM
2020/06/20,under 18,4,251,06/30/2020 04:36:29 PM
2020/06/21,under 18,3,254,06/30/2020 04:36:29 PM
2020/06/22,under 18,11,265,06/30/2020 04:36:29 PM
2020/06/23,under 18,16,281,06/30/2020 04:36:29 PM
2020/06/24,under 18,7,288,06/30/2020 04:36:29 PM
2020/06/25,under 18,4,292,06/30/2020 04:36:29 PM
2020/06/26,under 18,6,298,06/30/2020 04:36:29 PM
2020/06/27,under 18,6,304,06/30/2020 04:36:29 PM
2020/06/28,under 18,2,306,06/30/2020 04:36:29 PM
2020/03/05,41-50,4,5,06/30/2020 04:36:29 PM
2020/03/06,41-50,0,5,06/30/2020 04:36:29 PM
2020/03/07,41-50,0,5,06/30/2020 04:36:29 PM
2020/03/08,41-50,0,5,06/30/2020 04:36:29 PM
2020/03/09,41-50,0,5,06/30/2020 04:36:29 PM
2020/03/10,41-50,2,7,06/30/2020 04:36:29 PM
2020/03/11,41-50,2,9,06/30/2020 04:36:29 PM
2020/03/12,41-50,2,11,06/30/2020 04:36:29 PM
2020/03/13,41-50,4,15,06/30/2020 04:36:29 PM
2020/03/14,41-50,1,16,06/30/2020 04:36:29 PM
2020/03/15,41-50,0,16,06/30/2020 04:36:29 PM
2020/03/16,41-50,10,26,06/30/2020 04:36:29 PM
2020/03/17,41-50,3,29,06/30/2020 04:36:29 PM
2020/03/18,41-50,4,33,06/30/2020 04:36:29 PM
2020/03/19,41-50,4,37,06/30/2020 04:36:29 PM
2020/03/20,41-50,8,45,06/30/2020 04:36:29 PM
2020/03/21,41-50,1,46,06/30/2020 04:36:29 PM
2020/03/22,41-50,6,52,06/30/2020 04:36:29 PM
2020/03/23,41-50,4,56,06/30/2020 04:36:29 PM
2020/03/24,41-50,7,63,06/30/2020 04:36:29 PM
2020/03/25,41-50,9,72,06/30/2020 04:36:29 PM
2020/03/26,41-50,5,77,06/30/2020 04:36:29 PM
2020/03/27,41-50,9,86,06/30/2020 04:36:29 PM
2020/03/28,41-50,1,87,06/30/2020 04:36:29 PM
2020/03/29,41-50,2,89,06/30/2020 04:36:29 PM
2020/03/30,41-50,10,99,06/30/2020 04:36:29 PM
2020/03/31,41-50,12,111,06/30/2020 04:36:29 PM
2020/04/01,41-50,8,119,06/30/2020 04:36:29 PM
2020/04/02,41-50,4,123,06/30/2020 04:36:29 PM
2020/04/03,41-50,3,126,06/30/2020 04:36:29 PM
2020/04/04,41-50,5,131,06/30/2020 04:36:29 PM
2020/04/05,41-50,3,134,06/30/2020 04:36:29 PM
2020/04/06,41-50,11,145,06/30/2020 04:36:29 PM
2020/04/07,41-50,12,157,06/30/2020 04:36:29 PM
2020/04/08,41-50,16,173,06/30/2020 04:36:29 PM
2020/04/09,41-50,20,193,06/30/2020 04:36:29 PM
2020/04/10,41-50,5,198,06/30/2020 04:36:29 PM
2020/04/11,41-50,1,199,06/30/2020 04:36:29 PM
2020/04/12,41-50,0,199,06/30/2020 04:36:29 PM
2020/04/13,41-50,7,206,06/30/2020 04:36:29 PM
2020/04/14,41-50,12,218,06/30/2020 04:36:29 PM
2020/04/15,41-50,7,225,06/30/2020 04:36:29 PM
2020/04/16,41-50,5,230,06/30/2020 04:36:29 PM
2020/04/17,41-50,8,238,06/30/2020 04:36:29 PM
2020/04/18,41-50,4,242,06/30/2020 04:36:29 PM
2020/04/19,41-50,7,249,06/30/2020 04:36:29 PM
2020/04/20,41-50,8,257,06/30/2020 04:36:29 PM
2020/04/21,41-50,7,264,06/30/2020 04:36:29 PM
2020/04/22,41-50,5,269,06/30/2020 04:36:29 PM
2020/04/23,41-50,4,273,06/30/2020 04:36:29 PM
2020/04/24,41-50,3,276,06/30/2020 04:36:29 PM
2020/04/25,41-50,13,289,06/30/2020 04:36:29 PM
2020/04/26,41-50,5,294,06/30/2020 04:36:29 PM
2020/04/27,41-50,5,299,06/30/2020 04:36:29 PM
2020/04/28,41-50,10,309,06/30/2020 04:36:29 PM
2020/04/29,41-50,8,317,06/30/2020 04:36:29 PM
2020/04/30,41-50,5,322,06/30/2020 04:36:29 PM
2020/05/01,41-50,8,330,06/30/2020 04:36:29 PM
2020/05/02,41-50,4,334,06/30/2020 04:36:29 PM
2020/05/03,41-50,2,336,06/30/2020 04:36:29 PM
2020/05/04,41-50,16,352,06/30/2020 04:36:29 PM
2020/05/05,41-50,14,366,06/30/2020 04:36:29 PM
2020/05/06,41-50,7,373,06/30/2020 04:36:29 PM
2020/05/07,41-50,6,379,06/30/2020 04:36:29 PM
2020/05/08,41-50,7,386,06/30/2020 04:36:29 PM
2020/05/09,41-50,0,386,06/30/2020 04:36:29 PM
2020/05/10,41-50,1,387,06/30/2020 04:36:29 PM
2020/05/11,41-50,4,391,06/30/2020 04:36:29 PM
2020/05/12,41-50,6,397,06/30/2020 04:36:29 PM
2020/05/13,41-50,9,406,06/30/2020 04:36:29 PM
2020/05/14,41-50,4,410,06/30/2020 04:36:29 PM
2020/05/15,41-50,6,416,06/30/2020 04:36:29 PM
2020/05/16,41-50,1,417,06/30/2020 04:36:29 PM
2020/05/17,41-50,0,417,06/30/2020 04:36:29 PM
2020/05/18,41-50,6,423,06/30/2020 04:36:29 PM
2020/05/19,41-50,6,429,06/30/2020 04:36:29 PM
2020/05/20,41-50,12,441,06/30/2020 04:36:29 PM
2020/05/21,41-50,4,445,06/30/2020 04:36:29 PM
2020/05/22,41-50,5,450,06/30/2020 04:36:29 PM
2020/05/23,41-50,1,451,06/30/2020 04:36:29 PM
2020/05/24,41-50,2,453,06/30/2020 04:36:29 PM
2020/05/25,41-50,2,455,06/30/2020 04:36:29 PM
2020/05/26,41-50,5,460,06/30/2020 04:36:29 PM
2020/05/27,41-50,2,462,06/30/2020 04:36:29 PM
2020/05/28,41-50,3,465,06/30/2020 04:36:29 PM
2020/05/29,41-50,6,471,06/30/2020 04:36:29 PM
2020/05/30,41-50,3,474,06/30/2020 04:36:29 PM
2020/05/31,41-50,4,478,06/30/2020 04:36:29 PM
2020/06/01,41-50,8,486,06/30/2020 04:36:29 PM
2020/06/02,41-50,9,495,06/30/2020 04:36:29 PM
2020/06/03,41-50,2,497,06/30/2020 04:36:29 PM
2020/06/04,41-50,2,499,06/30/2020 04:36:29 PM
2020/06/05,41-50,3,502,06/30/2020 04:36:29 PM
2020/06/06,41-50,6,508,06/30/2020 04:36:29 PM
2020/06/07,41-50,5,513,06/30/2020 04:36:29 PM
2020/06/08,41-50,7,520,06/30/2020 04:36:29 PM
2020/06/09,41-50,8,528,06/30/2020 04:36:29 PM
2020/06/10,41-50,6,534,06/30/2020 04:36:29 PM
2020/06/11,41-50,4,538,06/30/2020 04:36:29 PM
2020/06/12,41-50,5,543,06/30/2020 04:36:29 PM
2020/06/13,41-50,4,547,06/30/2020 04:36:29 PM
2020/06/14,41-50,3,550,06/30/2020 04:36:29 PM
2020/06/15,41-50,5,555,06/30/2020 04:36:29 PM
2020/06/16,41-50,9,564,06/30/2020 04:36:29 PM
2020/06/17,41-50,8,572,06/30/2020 04:36:29 PM
2020/06/18,41-50,7,579,06/30/2020 04:36:29 PM
2020/06/19,41-50,6,585,06/30/2020 04:36:29 PM
2020/06/20,41-50,6,591,06/30/2020 04:36:29 PM
2020/06/21,41-50,6,597,06/30/2020 04:36:29 PM
2020/06/22,41-50,14,611,06/30/2020 04:36:29 PM
2020/06/23,41-50,13,624,06/30/2020 04:36:29 PM
2020/06/24,41-50,6,630,06/30/2020 04:36:29 PM
2020/06/25,41-50,5,635,06/30/2020 04:36:29 PM
2020/06/26,41-50,5,640,06/30/2020 04:36:29 PM
2020/06/27,41-50,2,642,06/30/2020 04:36:29 PM
2020/06/28,41-50,0,642,06/30/2020 04:36:29 PM
2020/03/16,61-70,4,7,06/30/2020 04:36:29 PM
2020/03/17,61-70,1,8,06/30/2020 04:36:29 PM
2020/03/18,61-70,1,9,06/30/2020 04:36:29 PM
2020/03/19,61-70,1,10,06/30/2020 04:36:29 PM
2020/03/20,61-70,6,16,06/30/2020 04:36:29 PM
2020/03/21,61-70,1,17,06/30/2020 04:36:29 PM
2020/03/22,61-70,3,20,06/30/2020 04:36:29 PM
2020/03/23,61-70,3,23,06/30/2020 04:36:29 PM
2020/03/24,61-70,4,27,06/30/2020 04:36:29 PM
2020/03/25,61-70,8,35,06/30/2020 04:36:29 PM
2020/03/26,61-70,6,41,06/30/2020 04:36:29 PM
2020/03/27,61-70,5,46,06/30/2020 04:36:29 PM
2020/03/28,61-70,3,49,06/30/2020 04:36:29 PM
2020/03/29,61-70,1,50,06/30/2020 04:36:29 PM
2020/03/30,61-70,8,58,06/30/2020 04:36:29 PM
2020/03/31,61-70,6,64,06/30/2020 04:36:29 PM
2020/04/01,61-70,4,68,06/30/2020 04:36:29 PM
2020/04/02,61-70,5,73,06/30/2020 04:36:29 PM
2020/04/03,61-70,3,76,06/30/2020 04:36:29 PM
2020/04/04,61-70,0,76,06/30/2020 04:36:29 PM
2020/04/05,61-70,4,80,06/30/2020 04:36:29 PM
2020/04/06,61-70,8,88,06/30/2020 04:36:29 PM
2020/04/07,61-70,4,92,06/30/2020 04:36:29 PM
2020/04/08,61-70,10,102,06/30/2020 04:36:29 PM
2020/04/09,61-70,12,114,06/30/2020 04:36:29 PM
2020/04/10,61-70,4,118,06/30/2020 04:36:29 PM
2020/04/11,61-70,4,122,06/30/2020 04:36:29 PM
2020/04/12,61-70,1,123,06/30/2020 04:36:29 PM
2020/04/13,61-70,6,129,06/30/2020 04:36:29 PM
2020/04/14,61-70,6,135,06/30/2020 04:36:29 PM
2020/04/15,61-70,8,143,06/30/2020 04:36:29 PM
2020/04/16,61-70,2,145,06/30/2020 04:36:29 PM
2020/04/17,61-70,2,147,06/30/2020 04:36:29 PM
2020/04/18,61-70,1,148,06/30/2020 04:36:29 PM
2020/04/19,61-70,6,154,06/30/2020 04:36:29 PM
2020/04/20,61-70,4,158,06/30/2020 04:36:29 PM
2020/04/21,61-70,3,161,06/30/2020 04:36:29 PM
2020/04/22,61-70,7,168,06/30/2020 04:36:29 PM
2020/04/23,61-70,8,176,06/30/2020 04:36:29 PM
2020/04/24,61-70,2,178,06/30/2020 04:36:29 PM
2020/04/25,61-70,3,181,06/30/2020 04:36:29 PM
2020/04/26,61-70,2,183,06/30/2020 04:36:29 PM
2020/04/27,61-70,3,186,06/30/2020 04:36:29 PM
2020/04/28,61-70,2,188,06/30/2020 04:36:29 PM
2020/04/29,61-70,7,195,06/30/2020 04:36:29 PM
2020/04/30,61-70,4,199,06/30/2020 04:36:29 PM
2020/05/01,61-70,2,201,06/30/2020 04:36:29 PM
2020/05/02,61-70,5,206,06/30/2020 04:36:29 PM
2020/05/03,61-70,0,206,06/30/2020 04:36:29 PM
2020/05/04,61-70,3,209,06/30/2020 04:36:29 PM
2020/05/05,61-70,1,210,06/30/2020 04:36:29 PM
2020/05/06,61-70,2,212,06/30/2020 04:36:29 PM
2020/05/07,61-70,1,213,06/30/2020 04:36:29 PM
2020/05/08,61-70,3,216,06/30/2020 04:36:29 PM
2020/05/09,61-70,1,217,06/30/2020 04:36:29 PM
2020/05/10,61-70,0,217,06/30/2020 04:36:29 PM
2020/05/11,61-70,1,218,06/30/2020 04:36:29 PM
2020/05/12,61-70,2,220,06/30/2020 04:36:29 PM
2020/05/13,61-70,2,222,06/30/2020 04:36:29 PM
2020/05/14,61-70,3,225,06/30/2020 04:36:29 PM
2020/05/15,61-70,4,229,06/30/2020 04:36:29 PM
2020/05/16,61-70,1,230,06/30/2020 04:36:29 PM
2020/05/17,61-70,1,231,06/30/2020 04:36:29 PM
2020/05/18,61-70,1,232,06/30/2020 04:36:29 PM
2020/05/19,61-70,0,232,06/30/2020 04:36:29 PM
2020/05/20,61-70,2,234,06/30/2020 04:36:29 PM
2020/05/21,61-70,1,235,06/30/2020 04:36:29 PM
2020/05/22,61-70,0,235,06/30/2020 04:36:29 PM
2020/05/23,61-70,1,236,06/30/2020 04:36:29 PM
2020/05/24,61-70,0,236,06/30/2020 04:36:29 PM
2020/05/25,61-70,1,237,06/30/2020 04:36:29 PM
2020/05/26,61-70,1,238,06/30/2020 04:36:29 PM
2020/05/27,61-70,1,239,06/30/2020 04:36:29 PM
2020/05/28,61-70,1,240,06/30/2020 04:36:29 PM
2020/05/29,61-70,1,241,06/30/2020 04:36:29 PM
2020/05/30,61-70,2,243,06/30/2020 04:36:29 PM
2020/05/31,61-70,3,246,06/30/2020 04:36:29 PM
2020/06/01,61-70,2,248,06/30/2020 04:36:29 PM
2020/06/02,61-70,3,251,06/30/2020 04:36:29 PM
2020/06/03,61-70,3,254,06/30/2020 04:36:29 PM
2020/06/04,61-70,3,257,06/30/2020 04:36:29 PM
2020/06/05,61-70,3,260,06/30/2020 04:36:29 PM
2020/06/06,61-70,1,261,06/30/2020 04:36:29 PM
2020/06/07,61-70,1,262,06/30/2020 04:36:29 PM
2020/06/08,61-70,2,264,06/30/2020 04:36:29 PM
2020/06/09,61-70,1,265,06/30/2020 04:36:29 PM
2020/06/10,61-70,0,265,06/30/2020 04:36:29 PM
2020/06/11,61-70,2,267,06/30/2020 04:36:29 PM
2020/06/12,61-70,5,272,06/30/2020 04:36:29 PM
2020/06/13,61-70,1,273,06/30/2020 04:36:29 PM
2020/06/14,61-70,0,273,06/30/2020 04:36:29 PM
2020/06/15,61-70,1,274,06/30/2020 04:36:29 PM
2020/06/16,61-70,3,277,06/30/2020 04:36:29 PM
2020/06/17,61-70,1,278,06/30/2020 04:36:29 PM
2020/06/18,61-70,1,279,06/30/2020 04:36:29 PM
2020/06/19,61-70,4,283,06/30/2020 04:36:29 PM
2020/06/20,61-70,1,284,06/30/2020 04:36:29 PM
2020/06/21,61-70,1,285,06/30/2020 04:36:29 PM
2020/06/22,61-70,6,291,06/30/2020 04:36:29 PM
2020/06/23,61-70,6,297,06/30/2020 04:36:29 PM
2020/06/24,61-70,3,300,06/30/2020 04:36:29 PM
2020/06/25,61-70,1,301,06/30/2020 04:36:29 PM
2020/06/26,61-70,6,307,06/30/2020 04:36:29 PM
2020/06/27,61-70,3,310,06/30/2020 04:36:29 PM
2020/06/28,61-70,0,310,06/30/2020 04:36:29 PM
