Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/06/08,51-60,2,379,06/30/2020 04:36:29 PM
2020/06/09,51-60,5,384,06/30/2020 04:36:29 PM
2020/06/10,51-60,1,385,06/30/2020 04:36:29 PM
2020/06/11,51-60,3,388,06/30/2020 04:36:29 PM
2020/06/12,51-60,1,389,06/30/2020 04:36:29 PM
2020/06/13,51-60,1,390,06/30/2020 04:36:29 PM
2020/06/14,51-60,1,391,06/30/2020 04:36:29 PM
2020/06/15,51-60,2,393,06/30/2020 04:36:29 PM
2020/06/16,51-60,1,394,06/30/2020 04:36:29 PM
2020/06/17,51-60,3,397,06/30/2020 04:36:29 PM
2020/06/18,51-60,5,402,06/30/2020 04:36:29 PM
2020/06/19,51-60,2,404,06/30/2020 04:36:29 PM
2020/06/20,51-60,4,408,06/30/2020 04:36:29 PM
2020/06/21,51-60,1,409,06/30/2020 04:36:29 PM
2020/06/22,51-60,18,427,06/30/2020 04:36:29 PM
2020/06/23,51-60,5,432,06/30/2020 04:36:29 PM
2020/06/24,51-60,4,436,06/30/2020 04:36:29 PM
2020/06/25,51-60,9,445,06/30/2020 04:36:29 PM
2020/06/26,51-60,5,450,06/30/2020 04:36:29 PM
2020/06/27,51-60,1,451,06/30/2020 04:36:29 PM
2020/06/28,51-60,1,452,06/30/2020 04:36:29 PM
2020/03/15,71-80,3,6,06/30/2020 04:36:29 PM
2020/03/16,71-80,2,8,06/30/2020 04:36:29 PM
2020/03/17,71-80,1,9,06/30/2020 04:36:29 PM
2020/03/18,71-80,1,10,06/30/2020 04:36:29 PM
2020/03/19,71-80,2,12,06/30/2020 04:36:29 PM
2020/03/20,71-80,2,14,06/30/2020 04:36:29 PM
2020/03/21,71-80,1,15,06/30/2020 04:36:29 PM
2020/03/22,71-80,0,15,06/30/2020 04:36:29 PM
2020/03/23,71-80,3,18,06/30/2020 04:36:29 PM
2020/03/24,71-80,2,20,06/30/2020 04:36:29 PM
2020/03/25,71-80,3,23,06/30/2020 04:36:29 PM
2020/03/26,71-80,3,26,06/30/2020 04:36:29 PM
2020/03/27,71-80,2,28,06/30/2020 04:36:29 PM
2020/03/28,71-80,0,28,06/30/2020 04:36:29 PM
2020/03/29,71-80,4,32,06/30/2020 04:36:29 PM
2020/03/30,71-80,2,34,06/30/2020 04:36:29 PM
2020/03/31,71-80,3,37,06/30/2020 04:36:29 PM
2020/04/01,71-80,3,40,06/30/2020 04:36:29 PM
2020/04/02,71-80,3,43,06/30/2020 04:36:29 PM
2020/04/03,71-80,3,46,06/30/2020 04:36:29 PM
2020/04/04,71-80,0,46,06/30/2020 04:36:29 PM
2020/04/05,71-80,3,49,06/30/2020 04:36:29 PM
2020/04/06,71-80,4,53,06/30/2020 04:36:29 PM
